no,system_group,hostname,server_name,role,lifecycle,runtime_scope,cpu_original,cpu_allocated,memory_gb,hostname_app_code_raw,application_coarse,middleware_classification,ha_candidate_group,ha_status,dr_flag,dr_target,dr_target_status,apache_instance,apache_listen,route_target_was,tomcat_jvm,connector_port,catalina_base,war_artifact,serviceid_set,db_target,mapping_status
1,마케팅플랫폼,sbmpcolowb01,마케팅플랫폼 WEB #01,WEB,신규,IN_SCOPE,11,12,48,MPCO,마케팅플랫폼,Apache HTTP Server [WORKING_ARCH_RULE],sbmpcolowb,CANDIDATE_BY_NAMING_ONLY,O,sbmpcolowb51,CONFIRMED_EXAMPLE,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
2,마케팅플랫폼,sbmpcolowb02,마케팅플랫폼 WEB #02,WEB,신규,IN_SCOPE,11,12,48,MPCO,마케팅플랫폼,Apache HTTP Server [WORKING_ARCH_RULE],sbmpcolowb,CANDIDATE_BY_NAMING_ONLY,O,sbmpcolowb52,CONFIRMED_EXAMPLE,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
3,마케팅플랫폼,sbmpcolows01,마케팅플랫폼 WAS #01,WAS,신규,IN_SCOPE,35,32,256,MPCO,마케팅플랫폼,Tomcat JVM [WORKING_ARCH_RULE],sbmpcolows,CANDIDATE_BY_NAMING_ONLY,O,sbmpcolows51,CONFIRMED_EXAMPLE,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
4,마케팅플랫폼,sbmpcolows02,마케팅플랫폼 WAS #02,WAS,신규,IN_SCOPE,35,32,256,MPCO,마케팅플랫폼,Tomcat JVM [WORKING_ARCH_RULE],sbmpcolows,CANDIDATE_BY_NAMING_ONLY,O,sbmpcolows52,CONFIRMED_EXAMPLE,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
5,마케팅플랫폼,sbmpmslowb01,미니싱글뷰 WEB #01,WEB,신규,IN_SCOPE,7,8,32,MPMS,미니싱글뷰,Apache HTTP Server [WORKING_ARCH_RULE],sbmpmslowb,CANDIDATE_BY_NAMING_ONLY,O,sbmpmslowb51,CANDIDATE_BY_NAMING_RULE,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
6,마케팅플랫폼,sbmpmslowb02,미니싱글뷰 WEB #02,WEB,신규,IN_SCOPE,7,8,32,MPMS,미니싱글뷰,Apache HTTP Server [WORKING_ARCH_RULE],sbmpmslowb,CANDIDATE_BY_NAMING_ONLY,O,sbmpmslowb52,CANDIDATE_BY_NAMING_RULE,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
7,마케팅플랫폼,sbmpmslows01,미니싱글뷰 WAS #01,WAS,신규,IN_SCOPE,42,32,256,MPMS,미니싱글뷰,Tomcat JVM [WORKING_ARCH_RULE],sbmpmslows,CANDIDATE_BY_NAMING_ONLY,O,sbmpmslows51,CANDIDATE_BY_NAMING_RULE,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
8,마케팅플랫폼,sbmpmslows02,미니싱글뷰 WAS #02,WAS,신규,IN_SCOPE,42,32,256,MPMS,미니싱글뷰,Tomcat JVM [WORKING_ARCH_RULE],sbmpmslows,CANDIDATE_BY_NAMING_ONLY,O,sbmpmslows52,CANDIDATE_BY_NAMING_RULE,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
9,마케팅플랫폼,sbmppeloap01,실시간 처리 AP #01,AP,신규,IN_SCOPE,32,32,64,MPPE,실시간 처리,Solution/runtime UNKNOWN,sbmppeloap,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
10,마케팅플랫폼,sbmppeloap02,실시간 처리 AP #02,AP,신규,IN_SCOPE,32,32,64,MPPE,실시간 처리,Solution/runtime UNKNOWN,sbmppeloap,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
11,마케팅플랫폼,sbmppbloap01,행동정보 처리 AP #01,AP,신규,IN_SCOPE,32,32,64,MPPB,행동정보 처리,Solution/runtime UNKNOWN,sbmppbloap,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
12,마케팅플랫폼,sbmppbloap02,행동정보 처리 AP #02,AP,신규,IN_SCOPE,32,32,64,MPPB,행동정보 처리,Solution/runtime UNKNOWN,sbmppbloap,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
13,마케팅플랫폼,sbmpcdloap01,고객 행동 데이터 AP #01,AP,신규,IN_SCOPE,32,32,64,MPCD,고객 행동 데이터,Solution/runtime UNKNOWN,sbmpcdloap,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
14,마케팅플랫폼,sbmpcdloap02,고객 행동 데이터 AP #02,AP,신규,IN_SCOPE,32,32,64,MPCD,고객 행동 데이터,Solution/runtime UNKNOWN,sbmpcdloap,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
15,마케팅플랫폼,sbmpcdloap03,고객 행동 데이터 AP #03,AP,신규,IN_SCOPE,32,32,64,MPCD,고객 행동 데이터,Solution/runtime UNKNOWN,sbmpcdloap,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
16,신BI포털시스템,sbbiptlowb01,BI 포털 WEB #01,WEB,신규,IN_SCOPE,4,4,16,BIPT,BI 포털,Apache HTTP Server [WORKING_ARCH_RULE],sbbiptlowb,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
17,신BI포털시스템,sbbiptlowb02,BI 포털 WEB #02,WEB,신규,IN_SCOPE,4,4,16,BIPT,BI 포털,Apache HTTP Server [WORKING_ARCH_RULE],sbbiptlowb,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
18,신BI포털시스템,sbbiptlows01,BI 포털 WAS #01,WAS,신규,IN_SCOPE,7,8,64,BIPT,BI 포털,Tomcat JVM [WORKING_ARCH_RULE],sbbiptlows,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
19,신BI포털시스템,sbbiptlows02,BI 포털 WAS #02,WAS,신규,IN_SCOPE,7,8,64,BIPT,BI 포털,Tomcat JVM [WORKING_ARCH_RULE],sbbiptlows,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
20,신BI포털시스템,sbbicrlowb01,신용 실적 WEB #01,WEB,신규,IN_SCOPE,2,2,8,BICR,신용 실적,Apache HTTP Server [WORKING_ARCH_RULE],sbbicrlowb,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
21,신BI포털시스템,sbbicrlowb02,신용 실적 WEB #02,WEB,신규,IN_SCOPE,2,2,8,BICR,신용 실적,Apache HTTP Server [WORKING_ARCH_RULE],sbbicrlowb,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
22,신BI포털시스템,sbbicrlows01,신용 실적 WAS #01,WAS,신규,IN_SCOPE,6,6,48,BICR,신용 실적,Tomcat JVM [WORKING_ARCH_RULE],sbbicrlows,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
23,신BI포털시스템,sbbicrlows02,신용 실적 WAS #02,WAS,신규,IN_SCOPE,6,6,48,BICR,신용 실적,Tomcat JVM [WORKING_ARCH_RULE],sbbicrlows,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
24,신BI포털시스템,sbbioalows01,OLAP WEB/WAS #01,WAS,삭제,EXCLUDED_DELETE,9,-,0,BIOA,OLAP,Tomcat JVM [WORKING_ARCH_RULE],sbbioalows,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
25,신BI포털시스템,sbbioalows02,OLAP WEB/WAS #02,WAS,삭제,EXCLUDED_DELETE,9,-,0,BIOA,OLAP,Tomcat JVM [WORKING_ARCH_RULE],sbbioalows,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
26,신BI포털시스템,sbbioalap01,OLAP AP #01,AP,삭제,EXCLUDED_DELETE,27,-,0,BIOA,OLAP,Solution/runtime UNKNOWN,sbbioalap,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
27,신BI포털시스템,sbbioalap02,OLAP AP #02,AP,삭제,EXCLUDED_DELETE,27,-,0,BIOA,OLAP,Solution/runtime UNKNOWN,sbbioalap,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
28,신BI포털시스템,sbbisblowb01,Self-BI WEB #01,WEB,신규,IN_SCOPE,4,4,16,BISB,Self-BI,Apache HTTP Server [WORKING_ARCH_RULE],sbbisblowb,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
29,신BI포털시스템,sbbisblowb02,Self-BI WEB #02,WEB,신규,IN_SCOPE,4,4,16,BISB,Self-BI,Apache HTTP Server [WORKING_ARCH_RULE],sbbisblowb,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
30,신BI포털시스템,sbbislows01,Self-BI WAS #01,WAS,신규,IN_SCOPE,16,16,256,BISL,Self-BI,Tomcat JVM [WORKING_ARCH_RULE],sbbislows,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
31,신BI포털시스템,sbbislows02,Self-BI WAS #02,WAS,신규,IN_SCOPE,16,16,256,BISL,Self-BI,Tomcat JVM [WORKING_ARCH_RULE],sbbislows,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
32,데이터거버넌스,sbkdgdlows01,비즈메타/데이터품질 WAS #01,WAS,신규,IN_SCOPE,16,16,64,KDGD,비즈메타/데이터품질,Tomcat JVM [WORKING_ARCH_RULE],sbkdgdlows,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
33,데이터거버넌스,sbkdgdlows02,비즈메타/데이터품질 WAS #02,WAS,신규,IN_SCOPE,16,16,64,KDGD,비즈메타/데이터품질,Tomcat JVM [WORKING_ARCH_RULE],sbkdgdlows,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
34,데이터거버넌스,sbdgddlows01,데이터흐름 WAS #01,WAS,신규,IN_SCOPE,16,16,256,DGDD,데이터흐름,Tomcat JVM [WORKING_ARCH_RULE],sbdgddlows,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
35,데이터거버넌스,sbdgddlows02,데이터흐름 WAS #02,WAS,삭제검토,REVIEW,16,16,256,DGDD,데이터흐름,Tomcat JVM [WORKING_ARCH_RULE],sbdgddlows,CANDIDATE_BY_NAMING_ONLY,-,,NOT_INDICATED,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
36,IT 서비스 및 업무지원,sbimxmlowb01,단말관리 WEB #01,WEB,신규,IN_SCOPE,-,4,16,IMXM,단말관리,Apache HTTP Server [WORKING_ARCH_RULE],sbimxmlowb,CANDIDATE_BY_NAMING_ONLY,O,sbimxmlowb51,CANDIDATE_BY_NAMING_RULE,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
37,IT 서비스 및 업무지원,sbimxmlowb02,단말관리 WEB #02,WEB,신규,IN_SCOPE,-,4,16,IMXM,단말관리,Apache HTTP Server [WORKING_ARCH_RULE],sbimxmlowb,CANDIDATE_BY_NAMING_ONLY,O,sbimxmlowb52,CANDIDATE_BY_NAMING_RULE,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
38,IT 서비스 및 업무지원,sbimxmlowb03,단말관리 WEB #03,WEB,신규,IN_SCOPE,-,4,16,IMXM,단말관리,Apache HTTP Server [WORKING_ARCH_RULE],sbimxmlowb,CANDIDATE_BY_NAMING_ONLY,O,sbimxmlowb53,CANDIDATE_BY_NAMING_RULE,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
39,IT 서비스 및 업무지원,sbimxmlowb04,단말관리 WEB #04,WEB,신규,IN_SCOPE,-,4,16,IMXM,단말관리,Apache HTTP Server [WORKING_ARCH_RULE],sbimxmlowb,CANDIDATE_BY_NAMING_ONLY,O,sbimxmlowb54,CANDIDATE_BY_NAMING_RULE,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
40,IT 서비스 및 업무지원,sbimxmlows01,단말관리 WAS #01,WAS,신규,IN_SCOPE,-,8,64,IMXM,단말관리,Tomcat JVM [WORKING_ARCH_RULE],sbimxmlows,CANDIDATE_BY_NAMING_ONLY,O,sbimxmlows51,CONFIRMED_EXAMPLE,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
41,IT 서비스 및 업무지원,sbimxmlows02,단말관리 WAS #02,WAS,신규,IN_SCOPE,-,8,64,IMXM,단말관리,Tomcat JVM [WORKING_ARCH_RULE],sbimxmlows,CANDIDATE_BY_NAMING_ONLY,O,sbimxmlows52,CANDIDATE_BY_NAMING_RULE,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
42,IT 서비스 및 업무지원,sbimxmlows03,단말관리 WAS #03,WAS,신규,IN_SCOPE,-,8,64,IMXM,단말관리,Tomcat JVM [WORKING_ARCH_RULE],sbimxmlows,CANDIDATE_BY_NAMING_ONLY,O,sbimxmlows53,CANDIDATE_BY_NAMING_RULE,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
43,IT 서비스 및 업무지원,sbimxmlows04,단말관리 WAS #04,WAS,신규,IN_SCOPE,-,8,64,IMXM,단말관리,Tomcat JVM [WORKING_ARCH_RULE],sbimxmlows,CANDIDATE_BY_NAMING_ONLY,O,sbimxmlows54,CANDIDATE_BY_NAMING_RULE,N/A,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARTIAL_SERVER_ONLY
44,IT 서비스 및 업무지원,sbimxdlowb01,단말배포 WEB #01,WEB,신규,IN_SCOPE,-,4,8,IMXD,단말배포,Apache HTTP Server [WORKING_ARCH_RULE],sbimxdlowb,CANDIDATE_BY_NAMING_ONLY,O,sbimxdlowb51,CANDIDATE_BY_NAMING_RULE,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
45,IT 서비스 및 업무지원,sbimxdlowb02,단말배포 WEB #02,WEB,신규,IN_SCOPE,-,4,8,IMXD,단말배포,Apache HTTP Server [WORKING_ARCH_RULE],sbimxdlowb,CANDIDATE_BY_NAMING_ONLY,O,sbimxdlowb52,CANDIDATE_BY_NAMING_RULE,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
46,IT 서비스 및 업무지원,sbimxdlowb03,단말배포 WEB #03,WEB,신규,IN_SCOPE,-,4,8,IMXD,단말배포,Apache HTTP Server [WORKING_ARCH_RULE],sbimxdlowb,CANDIDATE_BY_NAMING_ONLY,O,sbimxdlowb53,CANDIDATE_BY_NAMING_RULE,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
47,IT 서비스 및 업무지원,sbimxdlowb04,단말배포 WEB #04,WEB,신규,IN_SCOPE,-,4,8,IMXD,단말배포,Apache HTTP Server [WORKING_ARCH_RULE],sbimxdlowb,CANDIDATE_BY_NAMING_ONLY,O,sbimxdlowb54,CANDIDATE_BY_NAMING_RULE,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,PARTIAL_SERVER_ONLY
