source_path,config_kind,environment,environment_source,hostname,evidence_class,repo_branch,repo_commit,sha256,captured_at,size_bytes,parse_status,parse_error,accepted
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config/apache/httpd.conf,APACHE,UNKNOWN,UNKNOWN,UNKNOWN,REFERENCE_CONFIG,master,caf4db8952fb360a196b8752ed2a726f2eddbc12,a851eea4ea299188e7a2cc265cf7e6e098c843fbe4bb956dfc414987fd9bb625,2026-06-12T22:16:42,1982,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config/spring/application-common.yml,SPRING,UNKNOWN,UNKNOWN,UNKNOWN,REFERENCE_CONFIG,master,caf4db8952fb360a196b8752ed2a726f2eddbc12,db1a7d563a846b09a7be23cdc71a4cd750e5ddc8ef7fe3300787947c60210691,2026-06-12T22:32:22,2445,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config/spring/campaign/application.yml,SPRING,UNKNOWN,UNKNOWN,UNKNOWN,REFERENCE_CONFIG,master,caf4db8952fb360a196b8752ed2a726f2eddbc12,1f45e850ad798ceb1dcd9c7b8ac157597b541cfc938391cda50714dc01ae3384,2026-06-12T22:16:42,424,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config/spring/customer/application.yml,SPRING,UNKNOWN,UNKNOWN,UNKNOWN,REFERENCE_CONFIG,master,caf4db8952fb360a196b8752ed2a726f2eddbc12,ca1db17ad3345e99ee7275cf9a1c8e8ebc9e4d43ea98f667c667bbaaec41f21a,2026-06-12T22:16:42,424,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config/spring/event/application.yml,SPRING,UNKNOWN,UNKNOWN,UNKNOWN,REFERENCE_CONFIG,master,caf4db8952fb360a196b8752ed2a726f2eddbc12,f4102b67f5603c1470b764a43ff7549974eaa8f5e1b60933189729ad28288aae,2026-06-12T22:16:42,409,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config/spring/platform/application.yml,SPRING,UNKNOWN,UNKNOWN,UNKNOWN,REFERENCE_CONFIG,master,caf4db8952fb360a196b8752ed2a726f2eddbc12,29879b0a64ebcfdecb616e3626b6ceba3a3016db114710bd2f4dfd229278f38f,2026-06-12T22:16:42,424,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config/spring/support/application.yml,SPRING,UNKNOWN,UNKNOWN,UNKNOWN,REFERENCE_CONFIG,master,caf4db8952fb360a196b8752ed2a726f2eddbc12,81c2df38420d471de72dc842c5fad2eb3d877af273b6652dd6a1e633ed818e5c,2026-06-12T22:16:42,419,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config/tomcat/bin/setenv.sh,TOMCAT_SETENV,UNKNOWN,UNKNOWN,UNKNOWN,REFERENCE_CONFIG,master,caf4db8952fb360a196b8752ed2a726f2eddbc12,c480ef86f6f6d4fd72c24c8b943ad22416553e2a92cc2bb03bb09d4d299e0ca1,2026-06-12T22:16:42,1481,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config/tomcat/common/server.xml,TOMCAT_SERVER,UNKNOWN,UNKNOWN,UNKNOWN,REFERENCE_CONFIG,master,caf4db8952fb360a196b8752ed2a726f2eddbc12,369a2a9e2d7dc1d8d3d03d9fae26eaa73fa2b9871a05e3efa4a647390763782a,2026-06-12T22:32:22,2834,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config_one/MONO Style/apache/httpd.conf,APACHE,UNKNOWN,UNKNOWN,UNKNOWN,REFERENCE_CONFIG,main,4aed7fbdcd97f30e65ef6cbb72a975644e3803eb,5b5409fdf39b37d26fcb6d1a157da787c58cf736f710616d5d798246c29fab47,2026-06-12T23:19:44,4021,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config_one/MONO Style/spring/application-common.yml,SPRING,UNKNOWN,UNKNOWN,UNKNOWN,REFERENCE_CONFIG,main,4aed7fbdcd97f30e65ef6cbb72a975644e3803eb,92a0841eea32bb016f054b79f9cc8e870ece8eb08ac1f6c483dd07552a96f1cb,2026-06-12T23:22:32,4995,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config_one/MONO Style/spring/application-dev.yml,SPRING,DEV,INFERRED_FROM_FILENAME,UNKNOWN,REFERENCE_CONFIG,main,4aed7fbdcd97f30e65ef6cbb72a975644e3803eb,f10b31fc8b7b853e71498e2a2d3e809d6c8280db24312b326a1a34b647895b5b,2026-06-12T23:22:36,1072,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config_one/MONO Style/spring/application-prod.yml,SPRING,PROD,INFERRED_FROM_FILENAME,UNKNOWN,REFERENCE_CONFIG,main,4aed7fbdcd97f30e65ef6cbb72a975644e3803eb,12474ab8eddd047dfc20fd43ed27386fad1cb6f164be53af723c496e59aa7385,2026-06-12T23:22:40,763,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config_one/MONO Style/spring/apps/bc/application.yml,SPRING,UNKNOWN,UNKNOWN,UNKNOWN,REFERENCE_CONFIG,main,4aed7fbdcd97f30e65ef6cbb72a975644e3803eb,d386dce26355a46386a55f32a47bebc337eb735e45b94d08529c35841d01ad2b,2026-06-12T23:20:14,1262,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config_one/MONO Style/spring/apps/bd/application.yml,SPRING,UNKNOWN,UNKNOWN,UNKNOWN,REFERENCE_CONFIG,main,4aed7fbdcd97f30e65ef6cbb72a975644e3803eb,1a1e181129f28b4941fb905821752cd1df9d5690a21607d293da05088ad12c5b,2026-06-12T23:05:52,411,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config_one/MONO Style/spring/apps/bp/application.yml,SPRING,UNKNOWN,UNKNOWN,UNKNOWN,REFERENCE_CONFIG,main,4aed7fbdcd97f30e65ef6cbb72a975644e3803eb,a8f78c160e95ec022615b0b63681f362e67046c5219d2e4927e5f9cee55fc329,2026-06-12T23:05:52,411,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config_one/MONO Style/spring/apps/cc/application.yml,SPRING,UNKNOWN,UNKNOWN,UNKNOWN,REFERENCE_CONFIG,main,4aed7fbdcd97f30e65ef6cbb72a975644e3803eb,866ecad182f6be5d56771018e3a285fa41265d65c7b1c1d70715017ba7e31aac,2026-06-12T23:05:52,411,PASS,,False
nsight-tcf-framework/nsight-tcf-framework/znsight-config-info/nsight_env_config_one/MONO Style/spring/apps/cm/application.yml,SPRING,UNKNOWN,UNKNOWN,UNKNOWN,REFERENCE_CONFIG,main,4aed7fbdcd97f30e65ef6cbb72a975644e3803eb,b1e446a4838614fc52bcf305a03a191609f1404dda7e8c38f394de744ad12c8d,2026-06-12T23:05:52,411,PASS,,False
